Product Name,Group,Item,Availability,Color,Link,Size,Price,Fit,Fabric,user_query,Hashtags
Black Genuine Leather Auto Lock Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/2650374/s/black-genuine-leather-auto-lock-belt-10d248715002/category/60/,36,"Tk 1,323.81",Not Applicable,Not Applicable,"Something trendy for Men, maybe a Black Accessories?","['blp0', 'gep1', 'lep2', 'aup3', 'lop4', 'bep5', 'gmed2fc', 'iac464b', 'cbl1ffd', 's3619ca']"
Black Genuine Leather Auto Lock Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/2650374/s/black-genuine-leather-auto-lock-belt-10d248715002/category/60/,42,"Tk 1,323.81",Not Applicable,Not Applicable,Do you have any Accessoriess for Men in Black?,"['blp0', 'gep1', 'lep2', 'aup3', 'lop4', 'bep5', 'gmed2fc', 'iac464b', 'cbl1ffd', 's42a1d0']"
Black Genuine Leather Auto Lock Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/2650374/s/black-genuine-leather-auto-lock-belt-10d248715002/category/60/,46,"Tk 1,323.81",Not Applicable,Not Applicable,I'm looking for a Men Accessories.,"['blp0', 'gep1', 'lep2', 'aup3', 'lop4', 'bep5', 'gmed2fc', 'iac464b', 'cbl1ffd', 's46d9d4']"
Black Genuine Leather Bag,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-genuine-leather-bag-0870000107580.html,Not Applicable,"Tk 6,100.00",Not Applicable,Not Applicable,Need something in Black for Men.,"['blp0', 'gep1', 'lep2', 'bagp3', 'gmed2fc', 'iac464b', 'cbl1ffd']"
White Check Fabric Cross Body Bag,Men,Accessories,In Stock,White,https://www.aarong.com/catalog/product/view/id/943561/s/white-check-fabric-cross-body-bag/category/60/,Not Applicable,"Tk 2,666.67",Not Applicable,Not Applicable,Suggest a Men Accessories for daily wear.,"['whp0', 'chp1', 'fap2', 'crp3', 'bop4', 'bagp5', 'gmed2fc', 'iac464b', 'cwhd508']"
Red Printed Genuine Leather Taaga Man Wallet,Men,Accessories,In Stock,Red,https://www.aarong.com/men/accessories/red-printed-genuine-leather-taaga-man-wallet-1210000002333.html,Not Applicable,"Tk 1,128.57",Not Applicable,Not Applicable,"Something trendy for Men, maybe a Red Accessories?","['redp0', 'prp1', 'gep2', 'lep3', 'tap4', 'manp5', 'wap6', 'gmed2fc', 'iac464b', 'crebda9']"
Chocolate Genuine Leather Wallet,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/712706/s/chocolate-genuine-leather-wallet-0870000104531/category/60/,Not Applicable,Tk 752.38,Not Applicable,Not Applicable,"Something trendy for Men, maybe a Brown Accessories?","['chp0', 'gep1', 'lep2', 'wap3', 'gmed2fc', 'iac464b', 'cbr6ff4']"
Antique Green/Black Genuine Leather Wallet,Men,Accessories,In Stock,Green,https://www.aarong.com/men/accessories/antique-green-black-genuine-leather-wallet-0870000107428.html,Not Applicable,"Tk 1,047.62",Not Applicable,Not Applicable,"Show me Green Accessoriess around Tk 1,047.62.","['anp0', 'grp1', 'blp2', 'gep3', 'lep4', 'wap5', 'gmed2fc', 'iac464b', 'cgr9f27']"
Black Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/968803/s/black-leather-belt-10n168715002/category/60/,38,Tk 966.67,Not Applicable,Not Applicable,Show me Black Accessoriess around Tk 966.67.,"['blp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbl1ffd', 's38a577']"
Black Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/968803/s/black-leather-belt-10n168715002/category/60/,42,Tk 966.67,Not Applicable,Not Applicable,Want to buy a Accessories in size 42 under Tk 966.67.,"['blp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbl1ffd', 's42a1d0']"
Black Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/968803/s/black-leather-belt-10n168715002/category/60/,44,Tk 966.67,Not Applicable,Not Applicable,Do you have size 44 in Black Accessoriess?,"['blp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbl1ffd', 's44f717']"
Black Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/968803/s/black-leather-belt-10n168715002/category/60/,46,Tk 966.67,Not Applicable,Not Applicable,Want to buy a Accessories in size 46 under Tk 966.67.,"['blp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbl1ffd', 's46d9d4']"
Black Mesh Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-mesh-genuine-leather-belt-10e238715003.html,34,"Tk 1,033.33",Not Applicable,Not Applicable,"Show me Black Accessoriess around Tk 1,033.33.","['blp0', 'mep1', 'gep2', 'lep3', 'bep4', 'gmed2fc', 'iac464b', 'cbl1ffd', 's34e369']"
Black Mesh Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-mesh-genuine-leather-belt-10e238715003.html,36,"Tk 1,033.33",Not Applicable,Not Applicable,Looking for clothes.,"['blp0', 'mep1', 'gep2', 'lep3', 'bep4', 'gmed2fc', 'iac464b', 'cbl1ffd', 's3619ca']"
Black Mesh Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-mesh-genuine-leather-belt-10e238715003.html,38,"Tk 1,033.33",Not Applicable,Not Applicable,"Want to buy a Accessories in size 38 under Tk 1,033.33.","['blp0', 'mep1', 'gep2', 'lep3', 'bep4', 'gmed2fc', 'iac464b', 'cbl1ffd', 's38a577']"
Black Mesh Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-mesh-genuine-leather-belt-10e238715003.html,40,"Tk 1,033.33",Not Applicable,Not Applicable,Do you have size 40 in Black Accessoriess?,"['blp0', 'mep1', 'gep2', 'lep3', 'bep4', 'gmed2fc', 'iac464b', 'cbl1ffd', 's40d645']"
Brown Genuine Leather Wallet,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/2843244/s/brown-genuine-leather-wallet-0870000108170/category/60/,Not Applicable,Tk 833.33,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 833.33.,"['brp0', 'gep1', 'lep2', 'wap3', 'gmed2fc', 'iac464b', 'cbr6ff4']"
Black/Wine Genuine Leather Wallet,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/2650272/s/black-wine-genuine-leather-wallet-0870000107813/category/60/,Not Applicable,Tk 785.71,Not Applicable,Not Applicable,Show me Black Accessoriess around Tk 785.71.,"['blp0', 'wip1', 'gep2', 'lep3', 'wap4', 'gmed2fc', 'iac464b', 'cbl1ffd']"
Navy Blue Printed Leather-Mixed Fabric Laptop Bag,Men,Accessories,In Stock,Blue,https://www.aarong.com/men/accessories/navy-blue-printed-leather-mixed-fabric-laptop-bag-0870000107529.html,Not Applicable,"Tk 3,123.81",Not Applicable,Not Applicable,Need something in Blue for Men.,"['nap0', 'blp1', 'prp2', 'lep3', 'mip4', 'fap5', 'lap6', 'bagp7', 'gmed2fc', 'iac464b', 'cbl48d6']"
Black Embossed Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/547963/s/black-embossed-leather-belt-10lb188715003/category/60/,34,Tk 975.96,Not Applicable,Not Applicable,Do you have size 34 in Black Accessoriess?,"['blp0', 'emp1', 'gep2', 'lep3', 'bep4', 'gmed2fc', 'iac464b', 'cbl1ffd', 's34e369']"
Black Embossed Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/547963/s/black-embossed-leather-belt-10lb188715003/category/60/,42,Tk 975.96,Not Applicable,Not Applicable,Want to buy a Accessories in size 42 under Tk 975.96.,"['blp0', 'emp1', 'gep2', 'lep3', 'bep4', 'gmed2fc', 'iac464b', 'cbl1ffd', 's42a1d0']"
Black Mixed Fabric Gym Bagpack,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/1878177/s/black-mixed-fabric-gym-bagpack-0870000106801/category/60/,Not Applicable,"Tk 1,728.57",Not Applicable,Not Applicable,"Show me Black Accessoriess around Tk 1,728.57.","['blp0', 'mip1', 'fap2', 'gymp3', 'bap4', 'gmed2fc', 'iac464b', 'cbl1ffd']"
Chocolate Genuine Leather Belt,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,38,Tk 823.81,Not Applicable,Not Applicable,Do you have any Accessoriess for Men in Brown?,"['chp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbr6ff4', 's38a577']"
Chocolate Genuine Leather Belt,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,40,Tk 823.81,Not Applicable,Not Applicable,Need something in Brown for Men.,"['chp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbr6ff4', 's40d645']"
Chocolate Genuine Leather Belt,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,42,Tk 823.81,Not Applicable,Not Applicable,Do you have size 42 in Brown Accessoriess?,"['chp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbr6ff4', 's42a1d0']"
Chocolate Genuine Leather Belt,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,44,Tk 823.81,Not Applicable,Not Applicable,Do you have size 44 in Brown Accessoriess?,"['chp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbr6ff4', 's44f717']"
Chocolate Genuine Leather Belt,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/688356/s/chocolate-leather-belt-10e218715008/category/60/,46,Tk 823.81,Not Applicable,Not Applicable,Want to buy a Accessories in size 46 under Tk 823.81.,"['chp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbr6ff4', 's46d9d4']"
Tan Leather Multifunction Backpack,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/902856/s/tan-leather-multifunction-backpack/category/60/,Not Applicable,"Tk 5,714.29",Not Applicable,Not Applicable,"Show me Brown Accessoriess around Tk 5,714.29.","['tanp0', 'lep1', 'mup2', 'bap3', 'gmed2fc', 'iac464b', 'cbr6ff4']"
Black Textured Genuine Leather Wallet,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-textured-genuine-leather-wallet-0870000107793.html,Not Applicable,Tk 809.52,Not Applicable,Not Applicable,Show me Black Accessoriess around Tk 809.52.,"['blp0', 'tep1', 'gep2', 'lep3', 'wap4', 'gmed2fc', 'iac464b', 'cbl1ffd']"
Tan Genuine Leather Belt,Men,Accessories,In Stock,Brown,https://www.aarong.com/men/accessories/tan-leather-belt-10et208715005.html,Not Applicable,Tk 885.71,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 885.71.,"['tanp0', 'gep1', 'lep2', 'bep3', 'gmed2fc', 'iac464b', 'cbr6ff4']"
Brown Genuine Leather Wallet,Men,Accessories,In Stock,Brown,https://www.aarong.com/men/accessories/brown-genuine-leather-wallet-0870000107658.html,Not Applicable,Tk 809.52,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 809.52.,"['brp0', 'gep1', 'lep2', 'wap3', 'gmed2fc', 'iac464b', 'cbr6ff4']"
Blue Genuine Leather Tri-Fold Wallet,Men,Accessories,In Stock,Blue,https://www.aarong.com/catalog/product/view/id/2371329/s/blue-genuine-leather-tri-fold-wallet-0870000107440/category/60/,Not Applicable,Tk 971.43,Not Applicable,Not Applicable,"Something trendy for Men, maybe a Blue Accessories?","['blp0', 'gep1', 'lep2', 'trip3', 'fop4', 'wap5', 'gmed2fc', 'iac464b', 'cbl48d6']"
Black and Brown Embossed Genuine Leather Belt,Men,Accessories,In Stock,Black,https://www.aarong.com/catalog/product/view/id/968758/s/black-and-brown-embossed-genuine-leather-belt-10f198715002/category/60/,32,"Tk 1,014.42",Not Applicable,Not Applicable,"Want to buy a Accessories in size 32 under Tk 1,014.42.","['blp0', 'andp1', 'brp2', 'emp3', 'gep4', 'lep5', 'bep6', 'gmed2fc', 'iac464b', 'cbl1ffd', 's326364']"
Black Leather Wallet,Men,Accessories,In Stock,Black,https://www.aarong.com/men/accessories/black-leather-wallet-0870000108371.html,Not Applicable,Tk 874.42,Not Applicable,Not Applicable,Show me Black Accessoriess around Tk 874.42.,"['blp0', 'lep1', 'wap2', 'gmed2fc', 'iac464b', 'cbl1ffd']"
Chocolate Leather Wallet,Men,Accessories,In Stock,Brown,https://www.aarong.com/catalog/product/view/id/2337447/s/chocolate-leather-wallet-0870000106939/category/60/,Not Applicable,Tk 976.19,Not Applicable,Not Applicable,Show me Brown Accessoriess around Tk 976.19.,"['chp0', 'lep1', 'wap2', 'gmed2fc', 'iac464b', 'cbr6ff4']"
